district,turnout_pct_2026,seats_in_district
Thiruvallur,83.76,6
Chennai,83.74,22
Kanchipuram,87.39,3
Chengalpattu,85.46,6
Ranipet,89.89,4
Vellore,88.76,5
Thirupattur,88.90,4
Krishnagiri,85.48,6
Dharmapuri,90.13,5
Thiruvannamalai,89.66,8
Villupuram,88.99,7
Kallakurichi,88.50,4
Salem,90.76,11
Namakkal,90.21,6
Erode,90.10,8
Tiruppur,88.59,8
Nilgiris,78.92,3
Coimbatore,84.76,10
Dindigul,89.25,7
Karur,92.63,4
Tiruchirappalli,85.44,9
Perambalur,85.50,2
Ariyalur,87.41,2
Cuddalore,85.49,9
Mayiladuthurai,82.14,3
Nagapattinam,86.30,3
Thiruvarur,83.69,4
Thanjavur,80.63,8
Pudukkottai,83.90,6
Sivaganga,76.66,4
Madurai,80.52,10
Theni,81.55,4
Virudhunagar,84.82,7
Ramanathapuram,77.01,4
Thoothukudi,80.53,6
Tenkasi,82.41,5
Tirunelveli,77.94,5
Kanniyakumari,75.61,6
